<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	100000.00	100185.80	99940.58	99979.08	337296	0	0
2024.01.02	99979.06	100182.10	99903.30	100127.09	349355	0	0
2024.01.03	100127.07	100395.54	100110.59	100185.36	347035	0	0
2024.01.04	100185.34	100230.50	100014.97	100095.08	334852	0	0
2024.01.05	100095.06	100095.06	99586.46	99709.33	302679	0	0
2024.01.06	99709.31	99746.26	99309.27	99398.94	309399	0	0
2024.01.07	99398.92	99512.99	99340.75	99432.12	343834	0	0
2024.01.08	99432.10	99549.34	99240.56	99440.42	340251	0	0
2024.01.09	99440.40	99601.20	99242.97	99242.97	322365	0	0
2024.01.10	99242.95	99654.16	99212.69	99608.70	376262	0	0
2024.01.11	99608.68	99689.92	99393.30	99649.22	344572	0	0
2024.01.12	99649.20	100056.94	99622.02	100028.68	370759	0	0
2024.01.13	100028.66	100074.53	99759.60	99926.13	330938	0	0
2024.01.14	99926.11	100053.69	99823.29	99848.64	334175	0	0
2024.01.15	99848.62	99980.46	99652.90	99707.47	325959	0	0
2024.01.16	99707.45	99919.89	99635.35	99813.26	349301	0	0
2024.01.17	99813.24	100127.87	99723.96	99978.28	354773	0	0
2024.01.18	99978.26	99978.26	99648.72	99710.11	312470	0	0
2024.01.19	99710.09	99858.49	99394.62	99430.17	315894	0	0
2024.01.20	99430.15	99698.39	99426.91	99611.95	361730	0	0
2024.01.21	99611.93	99772.16	99547.19	99550.81	328934	0	0
2024.01.22	99550.79	99696.68	99426.00	99620.55	340887	0	0
2024.01.23	99620.53	99715.28	99204.82	99322.93	311374	0	0
2024.01.24	99322.91	99513.40	99195.80	99478.97	357356	0	0
2024.01.25	99478.95	99715.75	99359.54	99424.43	334596	0	0
2024.01.26	99424.41	99771.51	99321.78	99732.41	370324	0	0
2024.01.27	99732.39	99769.06	99525.43	99530.93	319790	0	0
2024.01.28	99530.91	99704.57	99436.93	99609.86	347076	0	0
2024.01.29	99609.84	99738.54	99491.25	99734.26	354749	0	0
2024.01.30	99734.24	99887.35	99369.22	99377.86	301581	0	0
2024.01.31	99377.84	99671.71	99310.88	99538.23	357685	0	0
2024.02.01	99538.21	99878.33	99487.84	99723.27	359062	0	0
2024.02.02	99723.25	99723.25	99455.87	99467.80	309606	0	0
2024.02.03	99467.78	99605.72	99094.58	99287.56	323852	0	0
