<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	100000.00	100054.08	99494.43	99959.50	675549	0	0
2024.07.02	99959.46	100220.05	99870.41	99981.41	682307	0	0
2024.07.03	99981.37	99981.37	99509.78	99689.59	656682	0	0
2024.07.04	99689.55	99918.44	98428.53	98570.61	557783	0	0
2024.07.05	98570.57	98691.43	98139.63	98567.23	673762	0	0
2024.07.06	98567.19	98749.12	98307.52	98452.61	671267	0	0
2024.07.07	98452.57	98491.52	97864.74	98125.78	652845	0	0
2024.07.08	98125.74	98136.76	97520.05	97542.92	620777	0	0
2024.07.09	97542.88	98073.86	97397.86	97605.18	683526	0	0
2024.07.10	97605.14	97940.23	97229.50	97272.54	652808	0	0
2024.07.11	97272.50	97626.97	97053.12	97561.60	697821	0	0
2024.07.12	97561.56	97907.43	97387.60	97719.55	696228	0	0
2024.07.13	97719.51	97913.71	97385.08	97681.50	672248	0	0
2024.07.14	97681.46	98014.73	97591.88	97676.39	681396	0	0
2024.07.15	97676.35	98657.62	97545.83	98396.44	737793	0	0
2024.07.16	98396.40	98557.65	97957.49	98440.35	689895	0	0
2024.07.17	98440.31	99439.93	98439.59	99324.94	768259	0	0
2024.07.18	99324.90	99549.34	98918.15	99020.35	652507	0	0
2024.07.19	99020.31	99119.59	98617.38	98748.54	658683	0	0
2024.07.20	98748.50	98748.50	97644.34	98218.02	629942	0	0
2024.07.21	98217.98	98321.28	97911.02	98303.49	690036	0	0
2024.07.22	98303.45	98314.45	97728.80	97967.20	647100	0	0
2024.07.23	97967.16	98633.41	97804.82	98493.65	725594	0	0
2024.07.24	98493.61	98832.27	98352.99	98655.64	699798	0	0
2024.07.25	98655.60	99429.89	98549.04	99238.24	743836	0	0
2024.07.26	99238.20	99360.08	98724.98	98739.05	632567	0	0
2024.07.27	98739.01	99444.95	98484.43	99396.99	740860	0	0
2024.07.28	99396.95	99609.05	99155.58	99400.88	684153	0	0
2024.07.29	99400.84	100126.70	99292.76	99837.67	729471	0	0
2024.07.30	99837.63	100076.01	99484.58	99980.43	700476	0	0
2024.07.31	99980.39	100044.52	99618.31	99757.30	659792	0	0
2024.08.01	99757.26	100238.58	99645.62	100102.90	711803	0	0
2024.08.02	100102.86	100119.41	99488.83	99488.83	616728	0	0
2024.08.03	99488.79	99732.93	99083.30	99083.30	640036	0	0
2024.08.04	99083.26	99381.19	98746.10	98793.39	650643	0	0
2024.08.05	98793.35	98830.78	98507.22	98551.94	659630	0	0
2024.08.06	98551.90	98554.77	97647.13	97668.26	592746	0	0
2024.08.07	97668.22	97860.99	97216.91	97218.73	641303	0	0
2024.08.08	97218.69	97596.73	97010.69	97082.00	667170	0	0
2024.08.09	97081.96	97354.39	96780.23	96780.23	651121	0	0
2024.08.10	96780.19	96851.14	95917.82	95977.56	603417	0	0
2024.08.11	95977.52	96477.04	95786.19	96331.05	716113	0	0
2024.08.12	96331.01	97124.12	96194.81	96874.97	719278	0	0
2024.08.13	96874.93	97310.05	96808.94	97006.87	699054	0	0
2024.08.14	97006.83	97149.48	96388.11	96503.44	635881	0	0
2024.08.15	96503.40	97009.69	96181.65	96983.71	723483	0	0
2024.08.16	96983.67	97074.79	96558.02	96558.02	643119	0	0
2024.08.17	96557.98	97386.89	96479.72	97015.24	731554	0	0
2024.08.18	97015.20	97187.23	96750.02	96850.92	663997	0	0
2024.08.19	96850.88	97077.77	96270.47	96812.42	678753	0	0
2024.08.20	96812.38	97232.47	96662.66	96715.32	676458	0	0
2024.08.21	96715.28	97613.69	96579.11	97483.73	744456	0	0
2024.08.22	97483.69	97604.24	96807.57	96830.42	619941	0	0
2024.08.23	96830.38	96964.53	96486.62	96635.71	655127	0	0
2024.08.24	96635.67	97075.37	96582.61	96723.19	694108	0	0
